sensor_id,dow_name,hour,median_count,mean_count,samples
4,Tuesday,2,43.5,41.0,4
4,Tuesday,3,33.5,32.25,4
4,Tuesday,4,32.0,35.25,4
4,Tuesday,5,83.5,81.0,4
4,Tuesday,6,282.0,273.75,4
4,Tuesday,7,608.0,607.0,4
4,Tuesday,8,1242.0,1245.0,4
4,Tuesday,9,1309.5,1305.5,4
4,Tuesday,10,1680.0,1669.6666666666667,3
4,Tuesday,11,2070.0,2070.0,1
4,Tuesday,12,3536.0,3536.0,2
4,Tuesday,13,3495.0,3473.0,3
4,Tuesday,14,2938.0,2938.0,1
4,Tuesday,15,2673.0,2673.0,1
4,Tuesday,16,2975.0,2970.3333333333335,3
4,Tuesday,17,3314.0,3314.0,1
4,Tuesday,18,2910.0,2910.0,2
4,Tuesday,19,2088.0,2088.0,1
4,Tuesday,20,1651.0,1651.0,2
4,Tuesday,21,1203.5,1222.75,4
4,Wednesday,0,173.0,162.75,4
4,Wednesday,1,73.0,74.25,4
4,Wednesday,2,43.0,42.75,4
4,Wednesday,3,29.0,29.25,4
4,Wednesday,4,27.5,25.25,4
4,Wednesday,5,87.0,87.66666666666667,3
4,Wednesday,6,277.5,263.0,4
4,Wednesday,7,598.0,590.0,4
4,Wednesday,8,1274.5,1277.75,4
4,Wednesday,9,1294.5,1301.25,4
4,Wednesday,10,1739.0,1739.0,1
4,Wednesday,11,2408.5,2408.5,2
4,Wednesday,12,3327.0,3379.3333333333335,3
4,Wednesday,13,3521.0,3521.0,2
4,Wednesday,14,2945.5,2945.5,2
4,Wednesday,15,2930.0,2994.0,3
4,Wednesday,16,3337.0,3337.0,1
4,Wednesday,17,3618.0,3618.0,1
4,Wednesday,18,2934.5,2934.5,2
4,Wednesday,19,2191.5,2222.0,4
4,Wednesday,20,1553.0,1740.6666666666667,3
4,Wednesday,21,1418.0,1418.0,2
4,Wednesday,22,1137.0,1137.0,2
4,Wednesday,23,413.0,449.6666666666667,3
5,Friday,0,179.0,172.0,4
5,Friday,1,44.0,50.75,4
5,Friday,2,44.0,38.75,4
5,Friday,3,43.5,37.0,4
5,Friday,4,35.5,35.75,4
5,Friday,5,92.0,92.0,4
5,Friday,6,257.5,257.0,4
5,Friday,7,533.0,535.25,4
5,Friday,8,951.0,1027.25,4
5,Friday,9,1147.0,1168.5,4
5,Friday,10,1625.0,1679.3333333333333,3
5,Friday,11,1413.0,1413.0,2
5,Friday,12,2019.5,2089.5,4
5,Friday,13,2354.0,2354.0,1
5,Friday,15,2293.5,2293.5,2
5,Friday,16,2635.0,2635.0,2
5,Friday,17,3198.0,3198.0,1
5,Friday,18,3290.0,3271.0,3
5,Friday,19,3824.5,3824.5,2
5,Friday,20,2173.5,2056.75,4
5,Friday,21,2561.0,2719.6666666666665,3
5,Friday,22,3358.0,3358.0,1
5,Friday,23,1524.0,1524.0,1
5,Monday,0,91.0,146.0,5
5,Monday,1,40.0,75.2,5
5,Monday,2,19.0,34.4,5
5,Monday,3,32.0,55.4,5
5,Monday,4,31.0,34.6,5
5,Monday,5,82.0,80.2,5
5,Monday,6,274.0,242.0,5
5,Monday,7,628.0,558.2,5
5,Monday,8,1241.0,1094.0,5
5,Monday,9,1165.0,1183.0,5
5,Monday,10,1695.0,1695.0,2
5,Monday,11,1801.0,1813.3333333333333,3
5,Monday,12,2892.5,2892.5,2
5,Monday,13,2088.0,2412.0,4
5,Monday,14,2236.0,2399.3333333333335,3
5,Monday,15,2034.0,2183.8,5
5,Monday,18,1966.0,1884.3333333333333,3
5,Monday,19,1265.0,1600.4,5
5,Monday,20,1012.0,991.0,3
