sensor_id,hour,avg_count,rank_in_sensor
41,16,3634.064516129032,2.0
41,13,3565.3870967741937,3.0
41,18,3455.0,4.0
41,14,3447.967741935484,5.0
42,13,850.0625,1.0
42,14,687.5625,2.0
42,12,686.7142857142857,3.0
42,16,624.5625,4.0
42,17,620.5,5.0
43,17,610.4193548387096,1.0
43,16,542.9,2.0
43,13,496.3333333333333,3.0
43,15,496.03333333333336,4.0
43,14,460.73333333333335,5.0
44,17,262.2903225806452,1.0
44,16,228.32258064516128,2.0
44,13,225.93548387096774,3.0
44,15,211.19354838709677,4.0
44,12,209.32258064516128,5.0
45,17,1468.967741935484,1.0
45,13,1390.4193548387098,2.0
45,18,1325.9354838709678,3.0
45,16,1318.3870967741937,4.0
45,19,1259.0967741935483,5.0
46,13,313.6774193548387,1.0
46,12,269.19354838709677,2.0
46,16,242.06451612903226,3.0
46,17,222.41935483870967,4.0
46,14,207.93548387096774,5.0
47,17,2033.8709677419354,1.0
47,13,1882.1935483870968,2.0
47,16,1838.7096774193549,3.0
47,15,1748.8387096774193,4.0
47,14,1726.0,5.0
48,13,662.0,1.0
48,12,655.3548387096774,2.0
48,14,581.8387096774194,3.0
48,11,570.5806451612904,4.0
48,15,513.741935483871,5.0
49,13,899.4516129032259,1.0
49,12,892.3548387096774,2.0
49,14,740.0322580645161,3.0
49,11,704.0322580645161,4.0
49,15,668.1612903225806,5.0
50,18,450.7096774193548,1.0
50,19,447.38709677419354,2.0
50,12,438.3225806451613,3.0
50,20,429.9032258064516,4.0
50,13,427.61290322580646,5.0
51,12,291.03225806451616,1.0
51,13,271.93548387096774,2.0
51,14,259.43333333333334,3.0
51,11,238.7741935483871,4.0
51,15,227.19354838709677,5.0
52,13,770.0645161290323,1.0
52,15,705.0,2.0
52,17,694.6451612903226,3.0
52,18,679.1290322580645,4.0
52,12,678.1612903225806,5.0
53,12,1498.1935483870968,1.0
53,13,1494.967741935484,2.0
53,14,1302.774193548387,3.0
53,15,1194.3225806451612,4.0
53,11,1135.516129032258,5.0
54,17,532.0967741935484,1.0
54,16,465.19354838709677,2.0
54,18,452.80645161290323,3.0
54,15,404.61290322580646,4.0
54,13,403.0967741935484,5.0
56,17,810.9,1.0
56,18,782.8666666666667,2.0
56,13,773.1666666666666,3.0
56,19,766.9666666666667,4.0
56,12,693.6774193548387,5.0
58,17,1726.7333333333333,1.0
58,16,1446.5666666666666,2.0
58,8,1349.4333333333334,3.0
58,18,1242.1666666666667,4.0
58,12,1190.0,5.0
59,12,2213.0,1.0
59,14,2084.2258064516127,2.0
59,16,1905.967741935484,3.0
59,10,1640.2903225806451,4.0
59,13,1562.6774193548388,5.0
61,17,2076.7096774193546,1.0
61,16,1929.4193548387098,2.0
61,12,1904.4193548387098,3.0
61,14,1793.2903225806451,4.0
61,18,1777.258064516129,5.0
62,18,656.8709677419355,1.0
62,17,638.4516129032259,2.0
62,19,604.6451612903226,3.0
62,16,595.4193548387096,4.0
62,14,537.6129032258065,5.0
63,12,917.9032258064516,1.0
63,13,910.8064516129032,2.0
63,17,874.4516129032259,3.0
63,18,787.4516129032259,4.0
63,14,754.2903225806451,5.0
66,17,3355.967741935484,1.0
66,16,3181.4193548387098,2.0
66,18,2978.032258064516,3.0
66,15,2847.6129032258063,4.0
66,14,2719.8064516129034,5.0
67,13,1200.258064516129,1.0
67,12,1182.0967741935483,2.0
67,14,940.4516129032259,3.0
67,15,936.6774193548387,4.0
67,17,899.9354838709677,5.0
68,12,938.8709677419355,1.0
68,13,862.7096774193549,2.0
68,11,632.2903225806451,3.0
68,14,620.2258064516129,4.0
68,15,581.1612903225806,5.0
